nom répertoire photo|adresse site|Nom 1|Nom3|Nom 2|Nom latin|Nom latin2|Nom anglais|Ordre:famille|Fleur en groupe/Fleur isolée|Inflorescence|Fleur/sans fleur|Couleur de la fleur|Couleur 2|Aspect de la fleur|Particularité|Aspect réformé|Nombre de pétales, tépales ou lobes|Forme de la fleur Régulière/Irrégulière|Type de feuille|disposition des feuilles|Tige pubescente/glabre/épine|Feuille pubescente 1/ Feuille pubescente 2/Feuille glabre|FIN
Bident_trifoliole|http://abiris.snv.jussieu.fr/flore/descriptions/Bident_trifoliole.html|Bident trifoliolé|Bident à feuilles tripartites|Bident tripartite|Bidens tripartita||Trifid Bur-marigold|Asteraceae|cyme|groupe|avec|jaune||composée||CLOT|>10|irrégulière, régulière|divisée|opposées|glabre, pubescente|pubescente2, pubescente1|
Blackstonie_perfoliee|http://abiris.snv.jussieu.fr/flore/descriptions/Blackstonie_perfoliee.html|Blackstonie perfoliée|Chlorette|Chlore perfoliée|Blackstonia perfoliata||yellow-wort|Gentianaceae|corymbe|groupe|avec|jaune||8 pétales||PSLE|7-10|régulière|simple entière|opposées|glabre|glabre|
Bleuet|http://abiris.snv.jussieu.fr/flore/descriptions/Bleuet.html|Bleuet|||Centaurea cyanus||cornflower|Asteraceae|isolée|solitaire|avec|bleu||composée||CLOT|>10|régulière|divisée|alternes|pubescente|pubescente2|
Boucage_saxifrage|http://abiris.snv.jussieu.fr/flore/descriptions/Boucage_saxifrage.html|Boucage saxifrage|||Pimpinella saxifraga||burnet-saxifrage|Apiaceae||groupe||blanc||||PSER|5||composée|alternes|pubescente|glabre|
Bourrache_officinale|http://abiris.snv.jussieu.fr/flore/descriptions/Bourrache_officinale.html|Bourrache officinale|||Borago officinalis||starflower|Boraginaceae|grappe|groupe|avec|bleu||5 pétales||PSLE|5|régulière|simple dentée|alternes|pubescente|pubescente2|
Brunelle_blanche
|http://abiris.snv.jussieu.fr/flore/descriptions/Brunelle_blanche.html|Brunelle blanche|||Prunella laciniata||Cut-leaf Self-heal|Lamiaceae|épi|groupe|avec|blanc||tube||PSLI|4|irrégulière|simple entière|opposées|pubescente|pubescente2|
Brunelle_commune
|http://abiris.snv.jussieu.fr/flore/descriptions/Brunelle_commune.html|Brunelle commune|||Prunella vulgaris|| common self-heal|Lamiaceae|épi|groupe|avec|bleu|rose|tube||PSLI|4|irrégulière|simple dentée|opposées|glabre, pubescente|pubescente2|
Brunelle_grandes_fleurs|http://abiris.snv.jussieu.fr/flore/descriptions/Brunelle_a_grandes_fleurs.html|Brunelle à grandes fleurs|||Prunella grandiflora||Large Self-heal|Lamiaceae||groupe||bleu|rose|tube||PSLI|4||simple dentée|opposées|pubescente|pubescente2|
